code,korname,engname
95570,AJ네트웍스보통주,"AJ Networks Co.,Ltd."
6840,AK홀딩스보통주,"AK Holdings, Inc."
282330,BGF리테일보통주,BGF Retail
27410,BGF보통주,BGF
138930,BNK금융지주보통주,BNK Financial Group Inc.
1465,BYC1우선주,BYC(1P)
1460,BYC보통주,BYC
1045,CJ1우선주,CJ(1P)
00104K,CJ4우선주(전환),CJ(4PC)
1040,CJ보통주,CJ Corp.
11155,CJ씨푸드1우선주,CJSEAFOODCORPORATION(1P)
11150,CJ씨푸드보통주,CJSEAFOODCORPORATION
590,CS홀딩스보통주,CSHOLDINGS
12030,DB Inc.보통주,DB Inc.
16610,DB금융투자보통주,"DB Financial Investment Co., LTD."
5830,DB손해보험보통주,DB INSURANCE
995,DB하이텍1우선주,"DB HiTek Co.,LTD(1P)"
990,DB하이텍보통주,"DB HiTek Co.,LTD"
139130,DGB금융지주보통주,DGB Financial Group
1530,DI동일보통주,DI DONGIL
215,DL1우선주,DL(1P)
1880,DL건설보통주,DLConstruction
210,DL보통주,DL
37550K,DL이앤씨1우선주,"DL E&C CO., LTD.(1P)"
375500,DL이앤씨보통주,"DL E&C CO., LTD."
155660,DSR보통주,DSR CORP
69730,DSR제강보통주,DSRWIRECORP
17940,E1보통주,E1Corporation
365550,ESR켄달스퀘어리츠보통주,ESR KENDALL SQUARE REIT
383220,F&F보통주,F&F
7700,F&F홀딩스,F&F Holdings
78935,GS1우선주,GS Holdings(1P)
6360,GS건설보통주,GS Engineering & Construction Corp
78930,GS보통주,GS Holdings
12630,HDC보통주,"HDC HOLDINGS CO.,Ltd"
294870,HDC현대산업개발보통주,HYUNDAI DEVELOPMENT COMPANY
3560,IHQ보통주,IHQ
175330,JB금융지주보통주,"JB Financial Group Co., Ltd."
234080,JW생명과학보통주,JW LIFESCIENCE
1065,JW중외제약1우선주,JWPHARMACEUTICAL(1P)
1067,JW중외제약2우선주(신형),JWPHARMACEUTICAL(2PB)
1060,JW중외제약보통주,JWPHARMACEUTICAL
96760,JW홀딩스 보통주,JW HOLDINGS CORPORATION
105560,KB금융지주 보통주,KB Financial Group
9070,KCTC 보통주,KCTC
16385,KG동부제철1우선주,KG DONGBUSTEEL(1P)
16380,KG동부제철보통주,KG DONGBUSTEEL
1390,KG케미칼보통주,KG Chemical
33180,KH 필룩스보통주,"KH FEELUX Co.,Ltd."
1940,KISCO홀딩스보통주,KISCO Holdings
25000,KPX케미칼보통주,KPXCHEMICAL
92230,KPX홀딩스보통주,KPXHOLDINGS
40,KR모터스보통주,KR MOTORS
93050,LF보통주,LF
3555,LG1우선주,LG Corp.(1P)
34220,LG디스플레이보통주,LG Display
3550,LG보통주,LG Corp.
51905,LG생활건강1우선주,"LGHOUSEHOLD&HEALTHCARE,LTD(1P)"
51900,LG생활건강보통주,"LGHOUSEHOLD&HEALTHCARE,LTD"
32640,LG유플러스보통주,LG Uplus
11070,LG이노텍보통주,LG Innotek
66575,LG전자1우선주,LGELECTRONICS(1P)
66570,LG전자보통주,LGELECTRONICS
51915,LG화학1우선주,"LGCHEM,LTD(1P)"
51910,LG화학보통주,"LGCHEM,LTD"
79550,LIG넥스원보통주,"LIG Nex1 Co., Ltd."
10120,LS ELECTRIC보통주,LS ELECTRIC
680,LS네트웍스보통주,LSNetworks
6260,LS보통주,LS
1120,LX인터내셔널보통주,LX INTERNATIONAL CORP.
23150,MH에탄올보통주,MHETHANOL
35420,NAVER보통주,NAVER
181710,NHN보통주,NHN
338100,NH프라임리츠보통주,NH Prime REIT
34310,NICE보통주,NICEHoldings
8260,NI스틸보통주,NI STEEL
4255,NPC1우선주,NPC(1P)
4250,NPC보통주,NPC
10060,OCI보통주,OCI
10955,S-Oil1우선주,S-Oil(1P)
10950,S-Oil보통주,S-OilCorporation
101060,SBS미디어홀딩스보통주,SBS Media Holdings
5090,SGC에너지보통주,SGC Energy
1380,SG글로벌보통주,SG GLOBAL
1770,SHD보통주,SHIN HWA DYNAMICS
2360,SH에너지화학보통주,SH ENERGY & CHEMICAL
9160,SIMPAC보통주,SIMPACInc
123700,SJM보통주,"SJM CO.,LTD"
25530,SJM홀딩스보통주,SJM HOLDINGS
03473K,SK1우선주,SK(1P)
11790,SKC보통주,SKC
18670,SK가스보통주,SKGas
1745,SK네트웍스1우선주,"SKNetworksCo.,Ltd(1P)"
1740,SK네트웍스보통주,"SKNetworksCo.,Ltd"
210980,SK디앤디보통주,"SK D&D Co., Ltd"
34730,SK보통주,SK
361610,SK아이이테크놀로지보통주,SK ie technology
96775,SK이노베이션 1우선주,SK Innovation(1P)
96770,SK이노베이션 보통주,SK Innovation
1515,SK증권1우선주,SKSecurities(1P)
1510,SK증권보통주,SKSecurities
28513K,SK케미칼1우선주,SKCHEMICALS(1P)
285130,SK케미칼보통주,SKCHEMICALS
17670,SK텔레콤보통주,SKTelecom
64960,SNT모티브보통주,SNT MOTIV
100840,SNT에너지보통주,"SNTEnergy Co.,Ltd."
3570,SNT중공업보통주,SNT DYNAMICS
36530,SNT홀딩스보통주,SNT Holdings
5610,SPC삼립보통주,SPC SAMLIP
11810,STX보통주,STX
77970,STX엔진보통주,"STXEngineCo.,Ltd"
71970,STX중공업보통주,STX Heavy Industries
84870,TBH글로벌보통주,TBH GLOBAL
2710,TCC스틸보통주,TCC STEEL
24070,WISCOM보통주,WISCOM
500,가온전선보통주,GAONCABLE
860,강남제비스코보통주,KANGNAM JEVISCO
35250,강원랜드보통주,"Kangwon Land, Inc."
11420,갤럭시아에스엠보통주,GALAXIA SM
2100,경농보통주,Kyungnong
9450,경동나비엔보통주,KYUNGDONGNAVIEN
267290,경동도시가스보통주,KYUNGDONG CITY GAS
12320,경동인베스트보통주,KYUNGDONG INVEST
50,경방보통주,Kyungbang
214390,경보제약보통주,"KYONGBO PHARMACEUTICAL CO., LTD."
12610,경인양행보통주,KyunginSynthetic
9140,경인전자보통주,KyunginElectronics
13580,계룡건설산업보통주,KyeryongConstructionIndustrial
12205,계양전기1우선주,KeyangElectricMachinery(1P)
12200,계양전기보통주,KeyangElectricMachinery
2140,고려산업보통주,KoreaIndustrial
10130,고려아연보통주,KoreaZinc
2240,고려제강보통주,KISWire
9290,광동제약보통주,KwangdongPharmaceutical
17040,광명전기보통주,KWANG MYUNG ELECTRIC
17900,광전자보통주,AUK
37710,광주신세계보통주,GwangjuShinsegae
30610,교보증권보통주,"KYOBOSECURITIESCO.,LTD."
339770,교촌에프앤비보통주,KYOCHON FOOD&BEVERAGE
7690,국도화학보통주,KukdoChemical
5320,국동보통주,Kukdong
1140,국보보통주,KUKBO
2720,국제약품보통주,Kukje Pharma
114090,그랜드코리아레저보통주,Grand Korea Leisure
83420,그린케미칼보통주,GREEN CHEMICAL
14530,극동유화보통주,KukdongOil&Chem.
14285,금강공업1우선주,KUMKANG KIND(1P)
14280,금강공업보통주,KUMKANG KIND
8870,금비보통주,Kumbi
1570,금양보통주,Kumyang
2995,금호건설1우선주,KUMHOE&C(1P)
2990,금호건설보통주,KUMHOE&C
11785,금호석유화학1우선주,KumhoPetrochemical(1P)
11780,금호석유화학보통주,KumhoPetrochemical
214330,금호에이치티보통주,"Kumho HT, Inc."
1210,금호전기보통주,KumhoElectric
73240,금호타이어보통주,"KUMHOTIRECO.,INC"
92440,기신정기 보통주,KISHIN CORPORATION
270,기아보통주,KIA CORPORATION
13700,까뮤이앤씨보통주,CAMUS ENGINEERING & CONSTRUCTION Inc.
4545,깨끗한나라1우선주,KleanNara(1P)
4540,깨끗한나라보통주,KleanNara
1260,남광토건보통주,NamkwangEngineering&Construction
8355,남선알미늄1우선주,NamsunAluminium(1P)
8350,남선알미늄보통주,NamsunAluminium
4270,남성보통주,Namsung
3925,남양유업1우선주,NamyangDairyProducts(1P)
3920,남양유업보통주,NamyangDairyProducts
25860,남해화학보통주,NamhaeChemical
5725,넥센1우선주,NEXEN(1P)
5720,넥센보통주,NEXEN
2355,넥센타이어1우선주(신형),NEXENTIRE(1PB)
2350,넥센타이어보통주,NEXENTIRE
3580,넥스트사이언스보통주,NEXT SCIENCE
251270,넷마블보통주,Netmarble Corporation
90355,노루페인트 1우선주,NOROO PAINT(1P)
90350,노루페인트 보통주,NOROO PAINT
325,노루홀딩스1우선주,NorooHoldings(1P)
320,노루홀딩스보통주,NorooHoldings
6280,녹십자보통주,Green Cross Corporation
5257,녹십자홀딩스2우선주(신형),Green Cross Holdings Corporation(2PB)
5250,녹십자홀딩스보통주,Green Cross Holdings Corporation
4370,농심보통주,Nongshim
72710,농심홀딩스보통주,NongshimHoldings
58730,다스코보통주,Development Advance Solution
23590,다우기술보통주,DaouTechnology
19680,대교보통주,DAEKYO
19685,대교우선주(신형),DAEKYO(1PB)
6370,대구백화점보통주,DaeguDepartmentStore
00806K,대덕1우선주,"DAEDUCK Co.,LTD(1P)"
8060,대덕보통주,"DAEDUCK Co.,LTD"
353200,대덕전자보통주,DaeduckElectronics
35320K,대덕전자우선주,DaeduckElectronics(1P)
490,대동보통주,DAEDONG CORPORATION
8110,대동전자보통주,DAIDONGElECTRONICS
5750,대림B&Co보통주,DAELIM B&Co
6570,대림통상보통주,DaelimTrading
1685,대상1우선주,Daesang(1P)
1680,대상보통주,Daesang
84695,대상홀딩스 1우선주,Daesang Holdings(1P)
84690,대상홀딩스 보통주,Daesang Holdings
128820,대성산업보통주,DAESUNG INDUSTRIAL
117580,대성에너지보통주,DAESUNG ENERGY
16710,대성홀딩스보통주,DAESUNG HOLDINGS
3545,대신증권1우선주,DaishinSecurities(1P)
3547,대신증권2우선주(신형),DAISHINSECURITIES(2PB)
3540,대신증권보통주,DaishinSecurities
9190,대양금속보통주,DaiyangMetal
14160,대영포장보통주,DaeyoungPackaging
47040,대우건설보통주,DaewooEngineering&Construction
9320,대우전자부품보통주,DAEWOO ELECTRONIC COMPONENTS
42660,대우조선해양보통주,DAEWOOSHIPBUILDING&MARINEENGINEERING
